GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Bank,com.jires.Bank.app.service,ExchangeRateService,42,43,0,2,13,10,1,3,1,2
Bank,com.jires.Bank.app.service,ConfirmationTokenService,26,222,3,15,14,50,3,11,0,5
Bank,com.jires.Bank.app.service,UserService,99,523,12,48,28,115,12,25,0,7
Bank,com.jires.Bank.app.service,CustomUserDetailsService,0,24,0,0,0,10,0,8,0,8
Bank,com.jires.Bank.app.service,EmailService,39,10,0,0,12,5,1,2,1,2
Bank,com.jires.Bank.app.service,CustomUserDetailsServiceImpl,117,9,10,0,31,4,8,1,3,1
Bank,com.jires.Bank.app.security,PasswordEncoder,3,0,0,0,1,0,1,0,1,0
Bank,com.jires.Bank.app.security,SecurityConfig,0,77,0,0,0,29,0,5,0,5
Bank,com.jires.Bank,BankApplication,0,8,0,0,0,3,0,2,0,2
Bank,com.jires.Bank.app.repository,ExchangeRateRepository,6,173,0,14,2,33,0,13,0,6
Bank,com.jires.Bank.app.repository,AccountRepository,9,41,0,2,3,9,1,2,1,1
Bank,com.jires.Bank.app.repository,ConfirmationTokenRepository,11,131,1,7,6,26,1,6,0,3
Bank,com.jires.Bank.app.repository,UserRepository,21,143,0,12,4,29,1,9,1,3
Bank,com.jires.Bank.app.controller,AppController,391,24,12,0,101,8,11,4,5,4
Bank,com.jires.Bank.app.controller,ErrorController,0,20,1,3,0,7,1,3,0,2
Bank,com.jires.Bank.app.domain,ExchangeRate,0,33,0,0,0,12,0,6,0,6
Bank,com.jires.Bank.app.domain,Account,0,27,0,0,0,7,0,4,0,4
Bank,com.jires.Bank.app.domain,ConfirmationToken,0,60,0,0,0,25,0,13,0,13
Bank,com.jires.Bank.app.domain,User,6,137,0,2,2,38,0,16,0,15
